0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
"NOMBRE DE SIMULACION ",LINEA FALLADA,CIRCUITOS POR LINEA,CIRUITO FALLADO,TIPO DE FALLA,T. INICIO DE FALLA,T. FIN DE FALLA,LINEA EXTREMO A,NODO DE EXTREMO A,PT DE ENTRADA DE LINEA,CT DE ENTRADA DE LINEA,T. APERTURA CB DE EXTREMO A,T. RECIERRE CB DE EXTREMO A,T. APERTURA TRIPOLAR EXTREMO A,LINEA EXTREMO B,NODO DE EXTREMO B,PT DE SALIDA DE LINEA,CT DE SALIDA DE LINEA,T. APERTURA CB DE EXTREMO B,T. RECIERRE CB DE EXTREMO B,T. APERTURA TRIPOLAR EXTREMO B,RESISTENCIA DE FALLA ENTRE FASES,RESISTENCIA DE FALLA A TIERRA,DISTANCIA DONDE OCURRIO LA FALLA [%],LONGITUD DE LA LINEA
Ref-SinFalla_0,LS230_B1_e2,1,1,AG,0.1,10.0,LS230_B1_e2,X0012,WLCDA,IN_PR,0.2,10,20,LS230_B1_e2,X0016,NVPHE,OU_DP,0.22,10,20,0.0002,0.2,3.03,100.0
Ref-SinFalla_1,LS230_B1_e2,1,1,AG,0.1,10.0,LS230_B1_e2,X0012,ZQOZO,IN_SC,0.2,10,20,LS230_B1_e2,X0016,PKLST,OU_ZJ,0.22,10,20,0.0002,0.2,30.0,100.0
Ref-SinFalla_2,LS230_B1_e2,1,1,AG,0.1,10.0,LS230_B1_e2,X0012,FVXVW,IN_WD,0.2,10,20,LS230_B1_e2,X0016,EUJKM,OU_OF,0.22,10,20,0.0002,0.2,96.97,100.0
Ref-SinFalla_3,LS230_B1_s1,1,1,AG,0.1,10.0,LS230_B1_s1,X0013,LIKLP,IN_EB,0.2,10,20,LS230_B1_s1,X0018,CHTSD,OU_QY,0.22,10,20,0.0002,0.2,3.03,100.0
Ref-SinFalla_4,LS230_B1_s1,1,1,AG,0.1,10.0,LS230_B1_s1,X0013,KVJGC,IN_ZP,0.2,10,20,LS230_B1_s1,X0018,SYZFA,OU_ST,0.22,10,20,0.0002,0.2,30.0,100.0
Ref-SinFalla_5,LS230_B1_s1,1,1,AG,0.1,10.0,LS230_B1_s1,X0013,ROFGD,IN_YI,0.2,10,20,LS230_B1_s1,X0018,VANND,OU_CO,0.22,10,20,0.0002,0.2,96.97,100.0
Ref-SinFalla_6,LS230_B1_e1,1,1,AG,0.1,10.0,LS230_B1_e1,X0011,VUTUJ,IN_BT,0.2,10,20,LS230_B1_e1,X0022,PFLGM,OU_WB,0.22,10,20,0.0002,0.2,3.03,100.0
Ref-SinFalla_7,LS230_B1_e1,1,1,AG,0.1,10.0,LS230_B1_e1,X0011,OKKVH,IN_XQ,0.2,10,20,LS230_B1_e1,X0022,KLGMM,OU_ZW,0.22,10,20,0.0002,0.2,30.0,100.0
Ref-SinFalla_8,LS230_B1_e1,1,1,AG,0.1,10.0,LS230_B1_e1,X0011,KOIZZ,IN_HP,0.2,10,20,LS230_B1_e1,X0022,WHIXB,OU_FM,0.22,10,20,0.0002,0.2,96.97,100.0
Ref-SinFalla_9,LS230_B1_s2,1,1,AG,0.1,10.0,LS230_B1_s2,X0014,IEGSC,IN_ZG,0.2,10,20,LS230_B1_s2,X0020,ANWRW,OU_GB,0.22,10,20,0.0002,0.2,3.03,100.0
Ref-SinFalla_10,LS230_B1_s2,1,1,AG,0.1,10.0,LS230_B1_s2,X0014,NLTAO,IN_XI,0.2,10,20,LS230_B1_s2,X0020,JFIYI,OU_XU,0.22,10,20,0.0002,0.2,30.0,100.0
Ref-SinFalla_11,LS230_B1_s2,1,1,AG,0.1,10.0,LS230_B1_s2,X0014,VNGNS,IN_JI,0.2,10,20,LS230_B1_s2,X0020,YKQCQ,OU_TS,0.22,10,20,0.0002,0.2,96.97,100.0
Ref-SinFalla_12,LS230_B1_r1,1,1,AG,0.1,10.0,LS230_B1_r1,X0010,BUYGB,IN_RB,0.2,10,20,LS230_B1_r1,X0024,ISHTE,OU_VK,0.22,10,20,0.0002,0.2,3.03,100.0
Ref-SinFalla_13,LS230_B1_r1,1,1,AG,0.1,10.0,LS230_B1_r1,X0010,QXJZL,IN_HN,0.2,10,20,LS230_B1_r1,X0024,OSVWC,OU_NJ,0.22,10,20,0.0002,0.2,30.0,100.0
Ref-SinFalla_14,LS230_B1_r1,1,1,AG,0.1,10.0,LS230_B1_r1,X0010,RNUUF,IN_JD,0.2,10,20,LS230_B1_r1,X0024,ASMHV,OU_II,0.22,10,20,0.0002,0.2,96.97,100.0
Ref-SinFalla_15,LS230_B1_r2,1,1,AG,0.1,10.0,LS230_B1_r2,X0009,CZGXB,IN_KL,0.2,10,20,LS230_B1_r2,X0026,PZPEM,OU_BV,0.22,10,20,0.0002,0.2,3.03,100.0
Ref-SinFalla_16,LS230_B1_r2,1,1,AG,0.1,10.0,LS230_B1_r2,X0009,HUTSK,IN_CH,0.2,10,20,LS230_B1_r2,X0026,ZPYFV,OU_GR,0.22,10,20,0.0002,0.2,30.0,100.0
Ref-SinFalla_17,LS230_B1_r2,1,1,AG,0.1,10.0,LS230_B1_r2,X0009,IPDEX,IN_CA,0.2,10,20,LS230_B1_r2,X0026,TKKTB,OU_YU,0.22,10,20,0.0002,0.2,96.97,100.0
